id,tw,cn,en,jp,kr
SYS_Credit_S_4,Polyperfect - Low Poly Ultimate Pack,Polyperfect - Low Poly Ultimate Pack,Polyperfect - Low Poly Ultimate Pack,,
SYS_Credit_S_5,Raygeas - SUNTAIL - Stylized Fantasy Village,Raygeas - SUNTAIL - Stylized Fantasy Village,Raygeas - SUNTAIL - Stylized Fantasy Village,,
SYS_Credit_S_6,Demigiant – DOTween,Demigiant – DOTween,Demigiant – DOTween,,
SYS_Credit_S_7,Crystal Pug - Safe Area Helper,Crystal Pug - Safe Area Helper,Crystal Pug - Safe Area Helper,,
SYS_Credit_D_1,,,,,
SYS_SpecialThanks,特別嗚謝,特别呜谢,Special Thanks,,
SYS_Credit_D_2,,,,,
SYS_Credit_D_3,,,,,
SYS_Credit_S_8,Layer Lab - GUI PRO Kit - Simple Casual,Layer Lab - GUI PRO Kit - Simple Casual,Layer Lab - GUI PRO Kit - Simple Casual,,
SYS_EN,英文,英文,English,,
SYS_TW,繁體中文,繁体中文,Traditional Chinese,,
SYS_CN,簡體中文,简体中文,Simplified Chinese,,
SYS_JP,日文,日文,Japanese,,
SYS_KR,韓文,韩文,Korean,,
SYS_AudioPref,聲音設置,声音设置,Sound Preference,,
SYS_ControlPref,控制設置,控制设置,Control Preference,,
SYS_LangPref,語言設置,语言设置,Language Preference,,
SYS_GraphicPref,顯示設置,显示设置,Graphic Preference,,
SYS_ControlType,控制製置,控制制置,Control Type,,
SYS_MoveForward,向上移動,向上移动,Move Forward,,
SYS_MoveBackward,向下移動,向下移动,Move Backward,,
SYS_MoveRight,向右移動,向右移动,Move Right,,
SYS_MoveLeft,向左移動,向左移动,Move Left,,
SYS_GraphicQuality,品質,品质,Quality,,
SYS_Resolution,解析度,分辨率,Resolution,,
SYS_WindowMode,視窗模式,视窗模式,Window Mode,,
SYS_Framerate,每秒幀數,每秒帧数,Framerate,,
SYS_AF,各向異性過濾,各向异性过滤,Anisotropic Filtering,,
SYS_AA,反鋸齒,反锯齿,Anti Aliasing,,
SYS_SQ,陰影品質,阴影品质,Shadow Quality,,
SYS_vSync,垂直同步,垂直同步,vSync,,
SYS_MasterVolume,主聲量,主声量,Master Volume,,
SYS_MusicVolume,背景聲量,背景声量,Music Volume,,
SYS_AmbientVolume,環境聲量,环境声量,Ambient Volume,,
SYS_SFXVolume,特效聲量,特效声量,SFX Volume,,
SYS_MuteAll,靜音,靜音,Mute,,
SYS_MuteMusic,背景靜音,背景靜音,Mute Music,,
SYS_MuteAmbient,環境靜音,环境靜音,Mute Ambient,,
SYS_MuteSFX,特效靜音,特效靜音,Mute SFX,,
SYS_Other,其他,其他,Other,,
SYS_WindowMode_0,全螢幕無邊框,全萤幕无边框,Exclusive Fullscreen,,
SYS_WindowMode_1,全螢幕專屬,全萤幕专属,Fullscreen Window,,
SYS_WindowMode_2,全螢幕延伸視窗,全萤幕延伸视窗,Maximized Window,,
SYS_WindowMode_3,視窗模式,视窗模式,Windowed,,
SYS_Common,常見,常见,Common,,
SYS_Uncommon,罕見,罕见,Uncommon,,
SYS_Rare,稀有,稀有,Rare,,
SYS_Epic,史詩,史诗,Epic,,
SYS_Legendary,傳說,传说,Legendary,,
SYS_Start,開始,开始,Start,,
SYS_RemainCount,剩餘次數: {0},剩馀次数: {0},Remain: {0},,
SYS_RemainCount_Inf,剩餘次數: ∞,剩馀次数: ∞,Remain: ∞,,
Attribute_T_0,生命值,生命值,HP,,
Attribute_D_N_2,,,,,
Attribute_D_N_3,,,,,
Attribute_D_N_4,,,,,
Attribute_D_N_5,,,,,
Attribute_D_N_6,,,,,
Attribute_D_N_7,,,,,
Attribute_D_N_8,,,,,
Attribute_D_N_9,,,,,
Attribute_D_N_10,,,,,
Attribute_D_N_11,,,,,
Attribute_D_N_12,,,,,
SYS_Ready,準備,准备,Ready,,
SYS_Register,創建帳號,创建帐号,New Account,,
SYS_Login,登入,登入,Login,,
SYS_Nickname,名稱,名称,Nickname,,
SYS_Password,密碼,密码,Password,,
SYS_ID,ID,ID,ID,,
SYS_EnterText,請輸入...,请输入...,Enter text…,,
Hint_100,#ID已被使用,#ID已被使用,#Duplicated ID,,
Hint_101,#ID必需是在5-20字以內,#ID必需是在5-20字以内,#ID MUST be between 5-20 words,,
Hint_102,#ID必需填寫,#ID必需填写,#ID cannot be blank,,
Hint_103,#名稱必需在1-8字以內,#名称必需在1-8字以內,#Nickname MUST be between 1-8 words,,
Hint_104,#名稱必需填寫,#名称必需填写,#Nickname cannot be blank,,
Hint_105,#密碼必需是英文或數字，在6-20字以內,#密码必需是英文或數字，在6-20字以內,#Password MUST be alphabet or numbers, between 6-20 words,
Hint_106,#密碼必需填寫,#密码必需填写,#Password cannot be blank,,
Hint_200,#總結必需填寫,#总结必需填写,#Summary cannot be blank,,
SYS_Back,上一頁,上一页,Back,,
SYS_Gallery,圖鑑,图鑑,Gallery,,
SYS_Interacting,互動中...,互动中...,Interacting…,,
SYS_Apply,套用,套用,Apply,,
SYS_Revert,還原,还原,Revert,,
SYS_ConfirmApplySetting,是否套用未儲存設定?,是否套用未储存设定?,Would you like to apply the unsaved settings?,,
SYS_Unlimited,無限制,无限制,Unlimited,,
SYS_SQ_0,關閉,关闭,Disable,,
SYS_SQ_1,低,低,Low,,
SYS_SQ_2,高,高,High,,
SYS_WaitingPressKeyCode,按下指定按鍵或按「ESC」取消,按下指定按键或按「ESC」取消,Press the key you want or press “ESC” to cancel,,
SYS_Interact,互動,互动,Interact,,
SYS_Patch,補丁,补丁,Patch,,
SYS_Quit,離開,离开,Quit,,
SYS_CharacterList,角色列表,角色列表,Character List,,
SYS_SelectCharacter,選擇角色,选择角色,Select Character,,
SYS_CreateCharacter,創建角色,创建角色,Create,,
SYS_ConfirmDelCharacter,是否要刪除除角色,是否要删除除角色,Are you sure to delete this character,,
SYS_EmptyCharacter,沒有可用的角色,没有可用的角色,Currently you don’t have any character,,
SYS_SkillTree,技能樹,技能树,Skill Tree,,
SYS_Stash,儲物房,储物房,Stash,,
SYS_Statistics,你的生涯,你的生涯,Statistics,,
SYS_StartGame,開始遊戲,开始游戏,Start Game,,
SYS_ConfirmStartGame,是否確定開始遊戲,是否确定开始游戏,Confirm to Start a new session?,,
SYS_LoadGame,載入存檔,载入存档,Load Game,,
SYS_NewGame,新遊戲,新游戏,New Game,,
SYS_Team,隊伍,队伍,Team,,
SYS_Mission,任務,任务,Mission,,
SYS_Lose,失敗,失败,Failed,,
SYS_Win,勝利,胜利,Success,,
Skill_n_1,普通炮火,普通炮火,Artillery,,
Skill_d_1,普通的炮火攻擊,普通的炮火攻击,Simple artillery attack,,
SYS_LoadLevel,載入關卡,载入关卡,Load Level,,
